# Number, X_IMAGE, Y_IMAGE, MAG_AUTO, MAGGER_AUTO, FLAGS, FLAGS_WEIGHT, FWHM_IMAGE, BACKGROUND, ALPHA_J2000, DELTA_J2000
9092,3400752,7347361,-8.533997,0.028945843,0,0,1.6174352,87.56623,57.12621397883608,24.4999688119476
9093,276.18735,7356.6064,-9.822392,0.013650966,0,0,1.767717,86.33673,57.657492502848925,24.499604543384116
9094,7763116,7356.8154,-10.697687,0.008582252,0,0,1.6292033,124897,56.38442452582168,24.500827828307642
9095,6921968,7348966,-8.387526,0.045137335,2,0,3.9184024,120.63481,56.52745459636903,24.50001176570286
9096,1332.4612,7348065,-7.38896,0.06498781,0,0,1.6191077,83.226204,57.4778964533012,24.499097723412945
4297,1390.5895,7407.3604,-14.066201491394043,0.005143288,0,0,1.7061851,6.613666,57.46816439670948,24.508288770494858
9098,1277.8083,7374382,-12.086478,0.004389949,0,0,1.6817133,83.022095,57.48720826911567,24.503132589534886
4298,4953246,7403.9663,-13.652460379638672,0.006284521,0,0,1.5082148,7.7451587,56.86232639190084,24.508905981943013
9100,6127.2817,7351.9316,-7.1061997,0.07166491,0,0,1.5873613,101.18602,56.66258300644053,24.500723319540807
9101,4154641,7383322,-12.398505,0.0037906459,0,0,1.7874113,89.724365,56.99802561037612,24.505687720258504
9102,6440404,7354228,-8.884943,0.023149388,0,0,1.8539321,101.733475,56.60933807099638,24.50099344383626
9103,5260263,7356719,-8.923797,0.022340612,0,0,1.7308942,97.86138,56.810014425838204,24.501602619584098
9104,3312.6753,7359397,-9.668669,0.014628396,0,0,1.6591616,87.386406,57.14119451614256,24.50180607054118
9105,5074855,7354921,-8.108611,0.037017718,0,0,1.6851498,95.55628,56.84154258679285,24.50133539132197
9106,9085572,7358.2837,-8.794222,0.024821226,0,0,1.9295226,101.54431,56.15956934730562,24.500156178306927
9107,4216.9517,7354.4995,-6.7651615,0.116623275,0,0,2.200043,89.83228,56.98742577224612,24.501236054146528
9108,640.91565,7362.8877,-8.584397,0.045854848,0,0,4.862284,89.37511,57.59548764857351,24.50088171671385
9109,6375.3584,7357835,-7.0233955,0.08558004,0,0,1.8792603,101.61582,56.620397411330586,24.501570770923614
9110,8343581,7370.8154,-10.54297,0.009228644,0,0,1.883207,155.96707,56.285717220412025,24.502640430074713
9111,3801.4873,7360637,-8.992117,0.022132969,0,0,1.8163929,88.69602,57.0580748531194,24.50211877799449
9112,3037331,7360385,-8.659124,0.026513575,0,0,1.7644516,87.726944,57.188015274488734,24.501870772827086
9113,2744.2495,7358.8687,-7.593317,0.055173475,0,0,1.5742061,87.02917,57.23785072186994,24.50152654236176
9114,7758742,7379.42,-11.245896,0.006602217,0,0,1.622679,124.086655,56.385154706506725,24.504327735125717
9115,7385.9644,7356308,-6.987204,0.083709456,0,0,1.7517076,123.25156,56.44855400720147,24.500944698359273
9116,2572945,7359325,-7.3559465,0.08673371,0,0,2.4031565,86.391785,57.26697952765083,24.501525573482866
4293,5625.03,7378.7417,-10.150700850524903,0.03554655,0,0,1.7226454,10.634394,56.74808876114512,24.504947400534768
9118,3542386,7370.84,-10.575848,0.009067321,0,0,1.5718162,88.249016,57.10213660810267,24.503639058834068
9119,3627.4697,7364521,-8.619355,0.027756685,0,0,1.789435,88.66148,57.087666760134354,24.502681902537937
9120,7221.0,7516.2847,99.0,99.0,1,0,13.486762,142.46387,56.47652615720247,24.52577411634069
9121,1218805,7364.3574,-8.127698,0.037775822,0,0,1.7124178,82.94539,57.49723313880863,24.501541081139056
9122,4364764,7379.2603,-11.244871,0.006572979,0,0,1.8156284,90.13489,56.96229337949473,24.505083167939958
9123,2284.7583,7369.2476,-9.224468,0.01885352,0,0,1.670298,85.422165,57.315987635768074,24.502927647494296
9124,7830713,7363.3535,-7.1828246,0.06643036,0,0,1.4111154,126.04195,56.372926776264784,24.50180159642757
9125,3977.5498,7367.0093,-7.072147,0.068380356,0,0,1.4948468,89.016304,57.0281372217511,24.503137139816697
9126,9402144,7374.5576,-8.900037,0.036955338,0,0,3.4827816,95.63551,56.10573113590539,24.50240946842232
9127,9429326,7367051,-8.924941,0.022349076,0,0,1.8829786,95.628006,56.10111660621568,24.501224407104704
9128,8497142,7367967,-6.8816986,0.09123373,0,0,1.949469,130.6611,56.25960934477989,24.50209541956468
1542,4771.3096,7562.3423,-16.960240378112793,0.0045262836,0,0,1.6320553,-0.49099836,56.89778993388799,24.536133497236843
